"Mach","Pressure","Points:0","Points:1","Points:2"
1.9443,1.0018e+05,6.45,0,0
1.9476,99699,6.46,0,0
1.9505,99296,6.47,0,0
1.9533,98892,6.48,0,0
1.9556,98569,6.49,0,0
1.9579,98245,6.5,0,0
1.9597,98005,6.51,0,0
1.9615,97764,6.52,0,0
1.9627,97613,6.53,0,0
1.9639,97462,6.54,0,0
1.9645,97405,6.55,0,0
1.965,97348,6.56,0,0
1.9649,97393,6.57,0,0
1.9648,97438,6.58,0,0
1.964,97593,6.59,0,0
1.9631,97748,6.6,0,0
1.9615,98024,6.61,0,0
1.9598,98299,6.62,0,0
1.9574,98705,6.63,0,0
1.9549,99111,6.64,0,0
1.9515,99662,6.65,0,0
1.9481,1.0021e+05,6.66,0,0
1.9437,1.0092e+05,6.67,0,0
1.9393,1.0163e+05,6.68,0,0
1.9338,1.0252e+05,6.69,0,0
1.9284,1.034e+05,6.7,0,0
1.9218,1.0448e+05,6.71,0,0
1.9153,1.0556e+05,6.72,0,0
1.9075,1.0686e+05,6.73,0,0
1.8998,1.0816e+05,6.74,0,0
1.8908,1.0969e+05,6.75,0,0
1.8818,1.1123e+05,6.76,0,0
1.8716,1.1302e+05,6.77,0,0
1.8613,1.1481e+05,6.78,0,0
1.8499,1.1689e+05,6.79,0,0
1.8384,1.1896e+05,6.8,0,0
1.8257,1.2133e+05,6.81,0,0
1.813,1.237e+05,6.82,0,0
1.7992,1.2638e+05,6.83,0,0
1.7853,1.2906e+05,6.84,0,0
1.7705,1.3205e+05,6.85,0,0
1.7557,1.3503e+05,6.86,0,0
1.7401,1.3831e+05,6.87,0,0
1.7245,1.4159e+05,6.88,0,0
1.7084,1.4514e+05,6.89,0,0
1.6923,1.4869e+05,6.9,0,0
1.6758,1.5248e+05,6.91,0,0
1.6594,1.5626e+05,6.92,0,0
1.643,1.6023e+05,6.93,0,0
1.6265,1.642e+05,6.94,0,0
1.6103,1.683e+05,6.95,0,0
1.594,1.724e+05,6.96,0,0
1.5782,1.7657e+05,6.97,0,0
1.5624,1.8074e+05,6.98,0,0
1.5473,1.8491e+05,6.99,0,0
1.5321,1.8909e+05,7,0,0
1.5177,1.9322e+05,7.01,0,0
1.5033,1.9735e+05,7.02,0,0
1.4897,2.0139e+05,7.03,0,0
1.4761,2.0543e+05,7.04,0,0
1.4634,2.0937e+05,7.05,0,0
1.4506,2.1331e+05,7.06,0,0
1.4386,2.1712e+05,7.07,0,0
1.4266,2.2094e+05,7.08,0,0
