"Mach","Points:0","Points:1","Points:2"
1.6293,9.29,0,0
1.6174,9.3,0,0
1.6057,9.31,0,0
1.594,9.32,0,0
1.5826,9.33,0,0
1.5712,9.34,0,0
1.5602,9.35,0,0
1.5492,9.36,0,0
1.5387,9.37,0,0
1.5282,9.38,0,0
1.5183,9.39,0,0
1.5084,9.4,0,0
1.4991,9.41,0,0
1.4898,9.42,0,0
1.4811,9.43,0,0
1.4725,9.44,0,0
1.4645,9.45,0,0
1.4564,9.46,0,0
1.4488,9.47,0,0
1.4413,9.48,0,0
1.434,9.49,0,0
1.4268,9.5,0,0
1.4199,9.51,0,0
1.4129,9.52,0,0
1.4063,9.53,0,0
1.3996,9.54,0,0
1.3933,9.55,0,0
1.387,9.56,0,0
1.3811,9.57,0,0
1.3752,9.58,0,0
1.37,9.59,0,0
1.3648,9.6,0,0
1.3602,9.61,0,0
1.3557,9.62,0,0
1.3515,9.63,0,0
1.3474,9.64,0,0
1.3445,9.65,0,0
1.3416,9.66,0,0
1.3369,9.67,0,0
1.3321,9.68,0,0
1.3289,9.69,0,0
1.3258,9.7,0,0
1.3232,9.71,0,0
1.3206,9.72,0,0
1.3178,9.73,0,0
1.315,9.74,0,0
1.3125,9.75,0,0
1.3099,9.76,0,0
1.3079,9.77,0,0
1.3058,9.78,0,0
1.3048,9.79,0,0
1.3037,9.8,0,0
1.3031,9.81,0,0
1.3025,9.82,0,0
1.3024,9.83,0,0
1.3024,9.84,0,0
1.3025,9.85,0,0
1.3026,9.86,0,0
1.3029,9.87,0,0
1.3032,9.88,0,0
1.3038,9.89,0,0
1.3044,9.9,0,0
1.3054,9.91,0,0
1.3063,9.92,0,0
1.3073,9.93,0,0
1.3083,9.94,0,0
1.3097,9.95,0,0
1.3111,9.96,0,0
1.3122,9.97,0,0
1.3133,9.98,0,0
1.314,9.99,0,0
1.3147,10,0,0
