"Density","Energy","Mach","Pressure","Pressure_Coefficient","Temperature","rp","Points:0","Points:1","Points:2"
4.4445,1.2078e+06,1.1519,3.5248e+05,3.1492e+18,266.88,0.43872,-0.11692,0,0
4.3557,1.1865e+06,1.1738,3.4266e+05,3.0215e+18,264.76,0.42649,-0.10462,0,0
4.2669,1.1651e+06,1.1957,3.3283e+05,2.8939e+18,262.64,0.41426,-0.092308,0,0
4.1734,1.1425e+06,1.2203,3.2275e+05,2.7629e+18,260.24,0.40171,-0.08,0,0
4.0799,1.1198e+06,1.245,3.1266e+05,2.632e+18,257.84,0.38916,-0.067692,0,0
3.9864,1.0972e+06,1.2697,3.0258e+05,2.501e+18,255.44,0.37661,-0.055385,0,0
3.8981,1.0757e+06,1.2929,2.9314e+05,2.3784e+18,253.17,0.36486,-0.043077,0,0
3.8255,1.0577e+06,1.312,2.8563e+05,2.2809e+18,251.28,0.35551,-0.030769,0,0
3.753,1.0396e+06,1.3312,2.7812e+05,2.1833e+18,249.39,0.34616,-0.018462,0,0
3.6804,1.0216e+06,1.3503,2.7061e+05,2.0858e+18,247.5,0.33682,-0.0061538,0,0
3.6073,1.0033e+06,1.3703,2.6314e+05,1.9888e+18,245.54,0.32752,0.0061539,0,0
3.5336,9.8496e+05,1.3912,2.5571e+05,1.8923e+18,243.5,0.31827,0.018462,0,0
3.46,9.6656e+05,1.4122,2.4828e+05,1.7958e+18,241.47,0.30902,0.030769,0,0
3.3863,9.4817e+05,1.4331,2.4084e+05,1.6993e+18,239.43,0.29977,0.043077,0,0
3.3035,9.2728e+05,1.458,2.3271e+05,1.5936e+18,237.03,0.28964,0.055385,0,0
3.2178,9.0557e+05,1.4842,2.2434e+05,1.485e+18,234.51,0.27923,0.067692,0,0
3.132,8.8386e+05,1.5103,2.1598e+05,1.3764e+18,232,0.26882,0.08,0,0
3.0463,8.6215e+05,1.5365,2.0762e+05,1.2678e+18,229.48,0.25842,0.092308,0,0
2.963,8.4065e+05,1.5637,1.9985e+05,1.1668e+18,226.89,0.24874,0.10462,0,0
2.8797,8.1914e+05,1.5908,1.9207e+05,1.0658e+18,224.31,0.23906,0.11692,0,0
2.7964,7.9763e+05,1.618,1.8429e+05,9.6483e+17,221.73,0.22938,0.12923,0,0
2.7183,7.7742e+05,1.6441,1.7705e+05,8.7082e+17,219.26,0.22037,0.14154,0,0
2.6545,7.6077e+05,1.6673,1.7129e+05,7.9597e+17,217.11,0.2132,0.15385,0,0
2.5906,7.4412e+05,1.6906,1.6553e+05,7.2111e+17,214.96,0.20602,0.16615,0,0
2.5268,7.2747e+05,1.7138,1.5976e+05,6.4626e+17,212.8,0.19885,0.17846,0,0
2.4662,7.1154e+05,1.7364,1.5441e+05,5.7674e+17,210.73,0.19219,0.19077,0,0
2.4086,6.9628e+05,1.7585,1.4943e+05,5.1206e+17,208.73,0.18599,0.20308,0,0
2.351,6.8102e+05,1.7806,1.4445e+05,4.4739e+17,206.73,0.17979,0.21538,0,0
2.2934,6.6576e+05,1.8027,1.3947e+05,3.8272e+17,204.72,0.17359,0.22769,0,0
2.2493,6.5403e+05,1.8205,1.3575e+05,3.3437e+17,203.14,0.16896,0.24,0,0
2.2091,6.4331e+05,1.8372,1.3238e+05,2.9066e+17,201.68,0.16477,0.25231,0,0
2.1689,6.3259e+05,1.8539,1.2901e+05,2.4694e+17,200.21,0.16058,0.26462,0,0
2.1285,6.2184e+05,1.8706,1.2564e+05,2.0313e+17,198.74,0.15638,0.27692,0,0
2.0851,6.1021e+05,1.8908,1.2206e+05,1.5668e+17,197.01,0.15193,0.28923,0,0
2.0417,5.9858e+05,1.9111,1.1849e+05,1.1022e+17,195.27,0.14748,0.30154,0,0
1.9983,5.8695e+05,1.9313,1.1491e+05,6.377e+16,193.54,0.14302,0.31385,0,0
1.9569,5.7581e+05,1.9508,1.1153e+05,1.987e+16,191.87,0.13882,0.32615,0,0
1.9205,5.6587e+05,1.9685,1.0863e+05,-1.7786e+16,190.36,0.13521,0.33846,0,0
1.8841,5.5593e+05,1.9863,1.0573e+05,-5.5442e+16,188.85,0.1316,0.35077,0,0
1.8478,5.4599e+05,2.004,1.0283e+05,-9.3098e+16,187.34,0.12799,0.36308,0,0
1.8219,5.389e+05,2.0166,1.008e+05,-1.1946e+17,186.28,0.12546,0.37538,0,0
1.8048,5.3418e+05,2.0248,99495,-1.3643e+17,185.59,0.12384,0.38769,0,0
1.7877,5.2946e+05,2.033,98188,-1.534e+17,184.91,0.12221,0.4,0,0
1.7706,5.2474e+05,2.0412,96882,-1.7037e+17,184.22,0.12059,0.41231,0,0
1.773,5.2532e+05,2.0394,97079,-1.678e+17,184.36,0.12083,0.42462,0,0
1.7801,5.2722e+05,2.0352,97648,-1.6041e+17,184.7,0.12154,0.43692,0,0
1.7872,5.2913e+05,2.031,98218,-1.5302e+17,185.04,0.12225,0.44923,0,0
1.7961,5.3151e+05,2.0259,98928,-1.4379e+17,185.45,0.12313,0.46154,0,0
1.8341,5.4176e+05,2.0063,1.0195e+05,-1.0449e+17,187.07,0.1269,0.47385,0,0
1.8722,5.5201e+05,1.9866,1.0498e+05,-6.5185e+16,188.68,0.13067,0.48615,0,0
1.9103,5.6226e+05,1.967,1.0801e+05,-2.5884e+16,190.3,0.13443,0.49846,0,0
1.9486,5.7258e+05,1.9478,1.1108e+05,1.4069e+16,191.91,0.13826,0.51077,0,0
1.9875,5.8305e+05,1.9295,1.1427e+05,5.5446e+16,193.49,0.14223,0.52308,0,0
2.0263,5.9352e+05,1.9112,1.1746e+05,9.6824e+16,195.07,0.14619,0.53538,0,0
2.0652,6.04e+05,1.8929,1.2064e+05,1.382e+17,196.64,0.15016,0.54769,0,0
2.1003,6.1344e+05,1.8772,1.2354e+05,1.7583e+17,198.02,0.15376,0.56,0,0
2.1324,6.221e+05,1.8635,1.2622e+05,2.1061e+17,199.23,0.1571,0.57231,0,0
2.1646,6.3076e+05,1.8499,1.289e+05,2.454e+17,200.45,0.16043,0.58462,0,0
2.1967,6.3942e+05,1.8362,1.3157e+05,2.8019e+17,201.66,0.16377,0.59692,0,0
2.1987,6.4e+05,1.8352,1.3176e+05,2.8254e+17,201.76,0.16399,0.60923,0,0
2.1943,6.3886e+05,1.8368,1.3141e+05,2.78e+17,201.63,0.16356,0.62154,0,0
2.19,6.3773e+05,1.8385,1.3106e+05,2.7346e+17,201.5,0.16312,0.63385,0,0
2.1836,6.3607e+05,1.841,1.3054e+05,2.6682e+17,201.29,0.16248,0.64615,0,0
2.1549,6.2837e+05,1.853,1.2818e+05,2.361e+17,200.24,0.15954,0.65846,0,0
2.1261,6.2068e+05,1.8651,1.2581e+05,2.0539e+17,199.2,0.1566,0.67077,0,0
2.0974,6.1298e+05,1.8771,1.2345e+05,1.7467e+17,198.15,0.15365,0.68308,0,0
2.0628,6.0367e+05,1.892,1.2063e+05,1.3812e+17,196.86,0.15015,0.69538,0,0
2.0167,5.9118e+05,1.9125,1.1693e+05,9.0039e+16,195.1,0.14554,0.70769,0,0
1.9705,5.7869e+05,1.933,1.1323e+05,4.1961e+16,193.34,0.14093,0.72,0,0
1.9244,5.662e+05,1.9536,1.0953e+05,-6.117e+15,191.58,0.13633,0.73231,0,0
1.8755,5.5287e+05,1.9763,1.0571e+05,-5.5734e+16,189.67,0.13157,0.74462,0,0
1.8248,5.3897e+05,2.0006,1.0181e+05,-1.0641e+17,187.65,0.12671,0.75692,0,0
1.7741,5.2508e+05,2.0249,97904,-1.5709e+17,185.64,0.12186,0.76923,0,0
1.7233,5.1118e+05,2.0491,94002,-2.0776e+17,183.63,0.117,0.78154,0,0
1.6774,4.9849e+05,2.073,90586,-2.5213e+17,181.7,0.11275,0.79385,0,0
1.6324,4.8602e+05,2.0969,87257,-2.9536e+17,179.79,0.10861,0.80615,0,0
1.5874,4.7355e+05,2.1208,83929,-3.3859e+17,177.88,0.10446,0.81846,0,0
1.5427,4.6116e+05,2.1447,80640,-3.8131e+17,175.98,0.10037,0.83077,0,0
1.5012,4.4955e+05,2.169,77694,-4.1956e+17,174.1,0.096702,0.84308,0,0
1.4597,4.3793e+05,2.1933,74748,-4.5782e+17,172.23,0.093036,0.85538,0,0
1.4182,4.2632e+05,2.2177,71802,-4.9608e+17,170.35,0.089369,0.86769,0,0
1.3784,4.1514e+05,2.2419,69011,-5.3232e+17,168.51,0.085896,0.88,0,0
